freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	M	P_HTHAB	Malta	0.49	1.95	1.45	1.45	0.96	0.95	0.0	1.4	0.46	0.43	2.91	2.78	0.75	0.37	0.37	0.7
A	ICCS0101	PER_CNV	M	P_HTHAB	Netherlands						7.73	6.52	5.83	5.25	5.96	6.24	6.3	6.58	7.3	7.82	8.47
A	ICCS0101	PER_CNV	M	P_HTHAB	Norway	0.72	0.96	1.11	0.89	0.96	0.87	0.93	0.65	0.91	1.06	0.82	0.6	0.85	0.85	0.73	0.51
A	ICCS0101	PER_CNV	M	P_HTHAB	Poland												1.65				
A	ICCS0101	PER_CNV	M	P_HTHAB	Portugal	2.23	2.94	2.25	2.53	2.52	2.3	2.14	1.95	1.75	1.17	1.4	1.15	1.56	1.27	1.2	1.49
A	ICCS0101	PER_CNV	M	P_HTHAB	Romania	6.59	7.05	7.99	8.99	7.87	7.92	8.48	8.09		7.45	6.74	6.77	5.04	4.67	5.29	5.14
A	ICCS0101	PER_CNV	M	P_HTHAB	Serbia						3.32	3.74	2.25	2.79	2.48	1.88	2.12	1.96	2.87	1.15	2.29
A	ICCS0101	PER_CNV	M	P_HTHAB	Sweden	3.02	2.95	3.2	2.64	2.56	2.73	2.68	3.0	3.16	2.55	3.17	3.46	3.73	4.35	3.86	5.59
A	ICCS0101	PER_CNV	M	P_HTHAB	Slovenia	2.74	1.99	1.48	2.56	2.16	3.53	3.23	1.96	1.76	1.95	3.21	1.44	1.43	1.7	1.13	1.88
A	ICCS0101	PER_CNV	M	P_HTHAB	Slovakia	1.72	1.57	2.25	1.45	1.48	1.37	1.52	1.02	1.1	1.02	1.2	1.05	1.31	1.58	1.35	1.02
A	ICCS0101	PER_CNV	M	P_HTHAB	Turkey		40.42	42.21	40.0	46.04	18.36	15.97	16.23	14.1	12.68	16.06	16.88	13.55	17.42	17.59	17.73
A	ICCS0101	PER_CNV	M	P_HTHAB	England and Wales	1.55	1.32	1.2	1.16	1.17	1.05	1.14	0.89	0.94							
A	ICCS0101	PER_CNV	M	P_HTHAB	Scotland	2.23	1.9	1.69	1.91	1.79	1.67	1.16	0.96	0.99	1.03						
A	ICCS0101	PER_CNV	M	P_HTHAB	Northern Ireland	1.15	1.6	1.59	1.24	0.9	1.45	0.78	0.55	0.77							
A	ICCS0101	PER_CNV	M	P_HTHAB	Kosovo	4.97	6.63	6.55	9.51					7.47		13.17	10.84				
A	ICCS0101	PER_CNV	T	NR	Albania	96.0					56.0	175.0	168.0	135.0	95.0	114.0	73.0	62.0	96.0	96.0	75.0
A	ICCS0101	PER_CNV	T	NR	Austria	26.0	20.0	39.0	29.0	39.0	33.0	35.0	25.0	32.0	24.0	44.0	33.0	39.0	39.0	28.0	31.0
A	ICCS0101	PER_CNV	T	NR	Bosnia and Herzegovina	115.0	104.0	111.0	109.0	108.0	177.0	101.0	79.0	92.0	101.0	98.0	72.0	78.0	113.0	86.0	89.0
A	ICCS0101	PER_CNV	T	NR	Belgium			213.0	246.0	294.0	249.0	229.0	86.0	95.0	96.0	97.0	87.0	52.0			
A	ICCS0101	PER_CNV	T	NR	Bulgaria	143.0	116.0	126.0	114.0	107.0	76.0	74.0	98.0	82.0	76.0	72.0	57.0	39.0	56.0	44.0	52.0
A	ICCS0101	PER_CNV	T	NR	Switzerland	40.0	36.0	48.0	30.0	41.0	34.0	35.0	38.0	33.0	38.0	36.0	25.0	22.0	39.0	26.0	8.0
A	ICCS0101	PER_CNV	T	NR	Cyprus	4.0	5.0	13.0	2.0	9.0	18.0	6.0	3.0	6.0	16.0	2.0	7.0	17.0	11.0	9.0	
A	ICCS0101	PER_CNV	T	NR	Czechia	136.0	111.0	109.0	131.0	111.0	125.0	137.0	114.0	99.0	82.0	103.0	76.0	106.0	104.0	88.0	93.0
