freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	NAT	P_HTHAB	CH	22.68 	23.03 	22.28 	21.79 	21.52 	22.33 	22.68 	24.08 	22.91 	23.15 	22.67 	24.46 	21.42 	21.72 	21.24 	21.50 
A	NAT	P_HTHAB	CY	35.42 	32.25 	31.98 	31.68 	31.79 	28.53 	34.15 	39.31 	41.14 	51.59 	39.69 	44.18 	38.40 	42.19 	47.20 	43.73 
A	NAT	P_HTHAB	CZ	184.20 	204.05 	194.03 	204.45 	199.22 	143.80 	162.75 	182.16 	195.89 	192.32 	186.70 	180.79 	166.00 	162.14 	167.29 	165.49 
A	NAT	P_HTHAB	DK	48.56 	52.80 	55.85 	55.91 	51.07 	53.42 	45.87 	41.31 	43.00 	42.62 	44.90 	47.93 	51.44 	53.90 	52.15 	51.36 
A	NAT	P_HTHAB	EE	: 	161.41 	153.30 	157.78 	153.79 	146.27 	137.40 	131.34 	137.09 	131.27 	126.45 	124.55 	117.91 	110.07 	104.15 	89.17 
A	NAT	P_HTHAB	EL	54.90 	45.58 	46.22 	41.28 	41.49 	46.08 	44.99 	39.80 	40.48 	43.83 	44.99 	42.68 	42.73 	42.43 	43.06 	44.94 
A	NAT	P_HTHAB	ES	103.70 	105.79 	102.43 	98.51 	97.62 	97.69 	97.44 	94.18 	91.43 	90.84 	90.76 	89.58 	82.95 	81.91 	82.21 	81.12 
A	NAT	P_HTHAB	FI	60.32 	60.70 	55.87 	52.69 	52.36 	52.28 	48.89 	48.36 	47.84 	45.92 	44.49 	44.27 	41.21 	43.19 	43.26 	42.58 
A	NAT	P_HTHAB	FR	78.71 	76.81 	75.70 	80.39 	82.00 	81.15 	79.55 	79.09 	80.09 	80.17 	80.56 	80.87 	70.09 	76.86 	79.72 	83.60 
A	NAT	P_HTHAB	HR	: 	: 	: 	: 	: 	: 	83.17 	74.41 	68.72 	70.10 	70.73 	74.87 	77.62 	85.18 	94.97 	95.22 
A	NAT	P_HTHAB	HU	141.41 	148.09 	157.02 	166.49 	166.71 	173.46 	174.03 	167.85 	170.69 	168.23 	159.02 	158.90 	161.26 	172.07 	169.82 	175.77 
A	NAT	P_HTHAB	IE	67.90 	74.49 	73.06 	72.44 	72.27 	66.52 	61.51 	73.73 	: 	: 	71.26 	69.37 	64.82 	64.54 	73.48 	75.75 
A	NAT	P_HTHAB	IS	35.19 	36.63 	44.08 	38.31 	36.30 	37.91 	40.53 	33.42 	27.07 	31.33 	30.13 	35.30 	29.38 	29.83 	26.31 	21.41 
A	NAT	P_HTHAB	IT	63.57 	70.34 	74.20 	73.57 	72.64 	69.54 	60.69 	58.57 	60.71 	63.92 	66.72 	70.01 	61.81 	64.01 	66.60 	70.81 
A	NAT	P_HTHAB	LI	36.77 	39.34 	41.79 	52.56 	30.16 	46.15 	32.32 	29.44 	26.58 	31.74 	23.61 	18.24 	49.04 	: 	12.72 	7.56 
